Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (36),969840,13320,Jugador_13 (ei);Jugador_9 (pi);Jugador_1 (c);Jugador_7 (li);Jugador_14 (ld),Acción de ataque,Jugada_6,Gol
Acción de ataque (17),1235800,8440,Jugador_13 (ei);Jugador_7 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_73,Gol
Acción de ataque (34),1983560,9240,Jugador_13 (ei);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld);Jugador_9 (pi),Acción de ataque,Jugada_27,Nada
Acción de ataque (14),1131960,12760,Jugador_13 (ei);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld);Jugador_9 (pi),Acción de ataque,Jugada_43,Gol
Acción de ataque (34),936600,10960,Jugador_13 (ei);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_5 (pi),Acción de ataque,Jugada_69,Nada
Acción de ataque (52),4914840,7760,Jugador_13 (ei);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_20,Gol
Acción de ataque (53),5007360,15240,Jugador_13 (ei);Jugador_1 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_12,Gol
Acción de ataque (37),1065280,9560,Jugador_13 (ei);Jugador_1 (c);Jugador_7 (li);Jugador_14 (ld);Jugador_9 (pi),Acción de ataque,Jugada_6,Pérdida
Acción de ataque (10),856800,13560,Jugador_13 (ei);Jugador_3 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_65,Gol
Acción de ataque (26),1384280,15600,Jugador_13 (ei);Jugador_3 (c);Jugador_7 (li);Jugador_1 (ld);Jugador_9 (pi),Acción de ataque,Jugada_65,Gol
Acción de ataque (33),1904080,17200,Jugador_13 (ei);Jugador_3 (c);Jugador_1 (ld);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_7,Pérdida
Acción de ataque (18),1353240,10000,Jugador_13 (ei);Jugador_16 (li);Jugador_3 (c);Jugador_2 (ld);Jugador_9 (pi),Acción de ataque,Jugada_13,Nada
Acción de ataque (9),819720,3760,Jugador_13 (c);Jugador_5 (pi),Acción de ataque,Jugada_38,Pérdida
Acción de ataque (12),1331800,14760,Jugador_13 (c);Jugador_14 (ld);Jugador_9 (pi);Jugador_7 (li),Acción de ataque,Jugada_31,Gol
Acción de ataque (63),1401000,13000,Jugador_13 (c);Jugador_14 (ld);Jugador_9 (pi);Jugador_16 (li);Jugador_15 (ei),Acción de ataque,Jugada_60,Pérdida
Acción de ataque (16),1730600,7120,Jugador_13 (c);Jugador_14 (ld);Jugador_16 (li);Jugador_12 (pi);Jugador_10 (ed),Acción de ataque,Jugada_6,Gol
Acción de ataque (15),1666960,8400,Jugador_13 (c);Jugador_14 (ld);Jugador_16 (li);Jugador_12 (pi),Acción de ataque,Jugada_2,Pérdida
Acción de ataque (14),1472520,10400,Jugador_13 (c);Jugador_14 (ld);Jugador_16 (li);Jugador_12 (pi),Acción de ataque,Jugada_36,Gol
Acción de ataque (60),1432840,9200,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_7 (li);Jugador_4 (ed),Acción de ataque,Jugada_66,Pérdida
Acción de ataque (61),1529960,13600,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_7 (li);Jugador_4 (ed),Acción de ataque,Jugada_2,Gol
Acción de ataque (58),1300960,5600,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_7 (li),Acción de ataque,Jugada_2,Nada
Acción de ataque (59),1332960,8400,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_7 (li),Acción de ataque,Jugada_66,Gol
Acción de ataque (57),1122400,10000,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_16 (li),Acción de ataque,Jugada_41,Pérdida
Acción de ataque (56),1102400,16000,Jugador_13 (c);Jugador_2 (ld);Jugador_9 (pi);Jugador_16 (li),Acción de ataque,Jugada_22,Nada
Acción de ataque (54),1021800,10800,Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_41,Pérdida
Acción de ataque (55),1061600,11200,Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_22,Nada
Acción de ataque (37),1832360,9200,Jugador_13 (c);Jugador_12 (pi);Jugador_14 (ld);Jugador_8 (li),Acción de ataque,Jugada_17,Pérdida
Acción de ataque (38),1894040,9240,Jugador_13 (c);Jugador_12 (pi);Jugador_14 (ld);Jugador_8 (li),Acción de ataque,Jugada_39,Nada
Acción de ataque (39),1908520,12800,Jugador_13 (c);Jugador_12 (pi);Jugador_8 (li),Acción de ataque,Jugada_20,Pérdida
Acción de ataque (36),1762520,8800,Jugador_13 (c);Jugador_12 (pi);Jugador_7 (li);Jugador_14 (ld),Acción de ataque,Jugada_1,Gol
